Run,barcode,Batch,seq_name,pathogen,Biofire positive,mapQ,Negative control,test,spiked,MS2_spike,IC_virus_spike,ct_1,ct_2,chrom,length,meanDepth,meanDepth_trunc5,meanDepth_trunc10,AuG,AuG_trunc5,AuG_trunc10,bases,bases_perc,Cov1,Cov3,Cov5,Cov10,Cov1_perc,Cov3_perc,Cov5_perc,Cov10_perc,sample num reads,total run reads mapped,total run reads inc unmapped,Sample_reads_percent_of_run,Sample_reads_percent_of_refs,Sample_reads_percent_of_type_run,Sample_reads_percent_of_type_sample,median_read_length,median_aligned_length,mean_read_length,mean_aligned_length,Sample_num_reads_200,Sample_num_reads_300,Sample_num_reads_400,orthoreovirus,zika,MS2,murine_respirovirus,orthoreovirus passed,zika passed,MS2 passed,murine_respirovirus passed,total sample bases,total sample reads,total run bases,total run reads,isSpike,PC_PASSES,PCs_passed,pass,gold_standard,condition,FLU_A_POS,TOP_FLU_A,Sample_reads_percent_of_refs_AuG_truc10,OR pass,AND ratio pass,2 reads pass,sample_positive
AD_winter_study_070325,1,1,109 - NC14,unmapped,0,40,1,CEPHEID,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121067.0,0.0,0.0,0.0,0.0,3.526244184552937,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,310.0,126.0,347.0,1.0,1.0,1.0,1.0,38246813.0,130321.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,0
AD_winter_study_070325,10,1,118,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50820.0,0.0,0.0,0.0,0.0,1.4802029410077089,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,14.0,43.0,1.0,1.0,1.0,1.0,18651446.0,59457.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,1
AD_winter_study_070325,11,1,119,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163316.0,0.0,0.0,0.0,0.0,4.756804870397776,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,46.0,21.0,53.0,1.0,1.0,1.0,1.0,46908297.0,167543.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,1
AD_winter_study_070325,12,1,120,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74211.0,0.0,0.0,0.0,0.0,2.161498237999273,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,22242648.0,74867.0,1194177299.0,3843671.0,0.0,3.0,0,False,0,False,False,False,,False,False,True,1
AD_winter_study_070325,13,1,121,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122399.0,0.0,0.0,0.0,0.0,3.5650405308225617,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,380.0,123.0,356.0,1.0,1.0,1.0,1.0,42292383.0,136846.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,1
AD_winter_study_070325,14,1,122,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124896.0,0.0,0.0,0.0,0.0,3.637769116885061,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,1.0,1.0,1.0,35875414.0,125600.0,1194177299.0,3843671.0,0.0,2.0,1,False,0,False,False,False,,False,False,True,1
AD_winter_study_070325,15,1,123,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111852.0,0.0,0.0,0.0,0.0,3.257844536749198,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,239.0,45.0,168.0,1.0,1.0,1.0,1.0,33581828.0,115214.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,False,False,,False,False,True,1
AD_winter_study_070325,16,1,124,unmapped,0,40,0,ALINITY,1,1.0,1.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96612.0,0.0,0.0,0.0,0.0,2.8139584127634154,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,431.0,201.0,471.0,1.0,1.0,1.0,1.0,41504840.0,116698.0,1194177299.0,3843671.0,0.0,3.0,1,False,0,False,True,False,,False,False,True,1
AD_winter_study_070325,17,1,RT NC 5,unmapped,0,40,0,0,1,0.0,0.0,0.0,0.0,unmapped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108159.0,0.0,0.0,0.0,0.0,3.150280792925084,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45191726.0,129268.0,1194177299.0,3843671.0,0.0,0.0,0,False,0,False,False,False,,False,False,True,0
AD_winter_study_070325,18,2,125 - NC16,Adenovirus,0,40,1,BIOFIRE,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,210.0,89.0,271.0,1.0,1.0,1.0,1.0,27257691.0,80482.0,1194177299.0,3843671.0,0.0,3.0,1,0,0,False,False,False,,False,False,False,0
