fpr,tpr,thresholds,sensitivity,specificity,1-specificity,Youden J statistic,metric
0.0,0.0,2.0,0.0,1.0,0.0,0.0,Sample_num_reads_200
0.0,0.16091954022988506,1.0,0.16091954022988506,1.0,0.0,0.16091954022988508,Sample_num_reads_200
0.0,0.2413793103448276,0.999996720926395,0.2413793103448276,1.0,0.0,0.24137931034482762,Sample_num_reads_200
0.0,0.26436781609195403,0.9999775531190559,0.26436781609195403,1.0,0.0,0.26436781609195403,Sample_num_reads_200
0.0,0.28735632183908044,0.9901745483053522,0.28735632183908044,1.0,0.0,0.28735632183908044,Sample_num_reads_200
0.0,0.3103448275862069,0.9865110468650802,0.3103448275862069,1.0,0.0,0.31034482758620685,Sample_num_reads_200
0.0,0.3218390804597701,0.9746944466264579,0.3218390804597701,1.0,0.0,0.32183908045977017,Sample_num_reads_200
0.0007363770250368188,0.3218390804597701,0.9654603972679766,0.3218390804597701,0.9992636229749632,0.0007363770250368188,0.32110270343473335,Sample_num_reads_200
0.0014727540500736377,0.3448275862068966,0.9530192367338294,0.3448275862068966,0.9985272459499264,0.0014727540500736377,0.34335483215682294,Sample_num_reads_200
0.0014727540500736377,0.3793103448275862,0.8857546754318937,0.3793103448275862,0.9985272459499264,0.0014727540500736377,0.37783759077751267,Sample_num_reads_200
0.0022091310751104565,0.3793103448275862,0.8032747331624639,0.3793103448275862,0.9977908689248896,0.0022091310751104565,0.37710121375247585,Sample_num_reads_200
0.0022091310751104565,0.40229885057471265,0.6094696988788532,0.40229885057471265,0.9977908689248896,0.0022091310751104565,0.40008971949960226,Sample_num_reads_200
0.003681885125184094,0.42528735632183906,0.5310803813082489,0.42528735632183906,0.9963181148748159,0.003681885125184094,0.42160547119665504,Sample_num_reads_200
0.005154639175257732,0.42528735632183906,0.373619228058898,0.42528735632183906,0.9948453608247423,0.005154639175257732,0.4201327171465814,Sample_num_reads_200
0.0066273932253313695,0.4482758620689655,0.23904460537123018,0.4482758620689655,0.9933726067746687,0.0066273932253313695,0.4416484688436342,Sample_num_reads_200
0.0066273932253313695,0.47126436781609193,0.18565012778891674,0.47126436781609193,0.9933726067746687,0.0066273932253313695,0.4646369745907606,Sample_num_reads_200
0.0066273932253313695,0.4827586206896552,0.14195726161033653,0.4827586206896552,0.9933726067746687,0.0066273932253313695,0.4761312274643239,Sample_num_reads_200
0.010309278350515464,0.5172413793103449,0.10719395348087314,0.5172413793103449,0.9896907216494846,0.010309278350515464,0.5069321009598293,Sample_num_reads_200
0.013254786450662739,0.5287356321839081,0.08014849334911728,0.5287356321839081,0.9867452135493373,0.013254786450662739,0.5154808457332454,Sample_num_reads_200
0.013991163475699559,0.5747126436781609,0.05947216707301394,0.5747126436781609,0.9860088365243005,0.013991163475699559,0.5607214802024614,Sample_num_reads_200
0.018409425625920472,0.6206896551724138,0.043875398845271175,0.6206896551724138,0.9815905743740795,0.018409425625920472,0.6022802295464933,Sample_num_reads_200
1.0,1.0,0.03222877241790237,1.0,0.0,1.0,0.0,Sample_num_reads_200
